% This is a dataset obtained from the YAHOO FINANCES. Here is the included description:
%
% The data provided are daily stock prices from 01/01/2015 through 31/12/2015, for BBDC4.SA.
%
% Source: collection of regression datasets by Jean Felipe Hartz (jeanrsbr@gmail.com) at
% http://real-chart.finance.yahoo.com 


@relation stock

@attribute BBDC4.SAClosePrice numeric
@attribute BBDC4.SAHighPrice numeric
@attribute BBDC4.SALowPrice numeric
@attribute BBDC4.SAMA5 numeric
@attribute BBDC4.SAMACD numeric
@attribute BBDC4.SAOBV numeric
@attribute BBDC4.SAOpenPrice numeric
@attribute BBDC4.SARSI numeric
@attribute BBDC4.SASODI numeric
@attribute BBDC4.SASOKI numeric
@attribute BBDC4.SAVolume numeric
@attribute BBDClosePrice numeric
@attribute BBDHighPrice numeric
@attribute BBDLowPrice numeric
@attribute BBDMA5 numeric
@attribute BBDMACD numeric
@attribute BBDOBV numeric
@attribute BBDOpenPrice numeric
@attribute BBDRSI numeric
@attribute BBDSODI numeric
@attribute BBDSOKI numeric
@attribute BBDVolume numeric

@data

34.3,35.49,34.13,34.3,0,0,34.75,0,12.5,12.5,9362200,12.82,13.12,12.71,12.82,0,0,13.1,0,26.83,26.83,12985900
34.35,34.77,33.31,34.32,0,9277900,33.71,0,30.1,47.71,9277900,12.65,12.78,12.29,12.74,0,-8792900,12.35,0,35.1,43.37,8792900
35.48,35.48,34.14,34.71,0,21233000,34.41,0,53.25,99.54,11955100,13.27,13.34,12.65,12.91,0,5534100,12.75,78.48,54.51,93.33,14327000
36.89,37.3,35.62,35.26,0,33973400,35.94,0,78.99,89.72,12740400,13.62,13.86,13.53,13.09,0,12308900,13.66,85.09,73.81,84.71,6774800
37.08,37.41,36.3,35.62,0,40968900,37,0,93.74,91.95,6995500,13.76,13.95,13.56,13.22,0,18471500,13.64,86.72,88.87,88.55,6162600
35.47,36.93,35.28,35.85,0,33323300,36.72,63.33,78.12,52.68,7645600,13.49,13.78,13.34,13.36,0,13175500,13.67,71.61,81.85,72.29,5296000
34.84,35.63,34.6,35.95,0,25743800,35.2,55.38,60.65,37.32,7579500,13.11,13.17,12.97,13.45,0,7633300,13.03,57.51,70.08,49.4,5542200
34.95,35.93,34.95,35.85,0,35502500,35.1,56.34,43.33,40,9758700,13.26,13.53,13.16,13.45,0,15287800,13.52,60.58,60.04,58.43,7654500
35.32,35.85,34.35,35.53,0,44274800,34.5,59.27,42.11,49.02,8772300,13.69,13.73,13.33,13.46,0,23130600,13.45,67.33,64.06,84.34,7842800
34.96,36.31,34.96,35.11,0,32299800,35.39,55.63,43.09,40.24,11975000,13.18,13.87,13.15,13.35,0,13504100,13.81,55.96,65.46,53.61,9626500
35.3,35.41,34.7,35.07,0,47399400,35.15,58.06,45.93,48.54,15099600,13.62,13.62,13.16,13.37,0,31001200,13.33,61.56,72.69,80.12,17497100
34.56,35.65,34.3,35.02,-0.06,39869000,35.1,51.87,39.76,30.49,7530400
34.45,35.25,34.34,34.92,-0.11,33542000,35.2,51.06,35.61,27.8,6327000,13.29,13.32,13.09,13.41,-0,25583800,13.2,56.2,64.66,60.24,5417400
35.29,35.54,34.3,34.91,-0.09,43584300,34.97,56.27,35.53,48.29,10042300,13.7,13.76,13.23,13.5,0.03,33324000,13.3,60.48,75.1,84.94,7740200
35.68,36.35,35.42,35.06,-0.04,53426100,35.7,58.33,44.63,57.8,9841800,13.97,14.21,13.73,13.55,0.08,42231300,13.92,62.86,77.56,87.5,8907300
35.37,36.35,34.78,35.07,-0.02,46160300,35.7,55.97,47.9,37.61,7265800,13.66,13.71,13.42,13.65,0.09,36166000,13.69,58.79,81.26,71.35,6065300
35.94,35.97,34.85,35.35,0.05,54311900,34.85,52.88,49.38,52.73,8151600,13.86,13.9,13.46,13.7,0.12,43771100,13.53,62.58,78.81,77.56,7605100
36,36.26,35,35.66,0.11,65369100,35.42,43.29,48.34,54.66,11057200,13.98,14.07,13.57,13.83,0.15,50143600,13.59,58.24,76.79,81.45,6372500
35.25,36.45,35.15,35.65,0.08,53818900,35.55,37.27,47.84,36.12,11550200,13.53,13.79,13.44,13.8,0.13,42293900,13.76,48.98,68.06,45.16,7849700
34.77,35.93,34.22,35.47,0.01,42415800,35.6,44.22,38.48,24.66,11403100,13.34,13.52,13.06,13.67,0.1,34245800,13.52,45.29,52.15,29.84,8048100
33.73,34.39,33.48,35.14,-0.16,29603200,34.3,41.42,23.07,8.42,12812600,12.48,12.73,12.41,13.44,-0.02,23758800,12.6,40,26.3,3.89,10487000
34.08,34.28,33.14,34.77,-0.26,40543300,34.15,43.52,20.49,28.4,10940100,12.68,12.69,12.27,13.2,-0.09,32233300,12.27,45.59,18.29,21.13,8474500
35.32,35.39,34.52,34.63,-0.21,51290900,35,50,34.23,65.86,10747600,13.14,13.17,12.93,13.03,-0.1,39603300,12.95,48.84,23.29,44.85,7370000
36.21,36.53,34.94,34.82,-0.06,63974900,35.32,57.71,61.61,90.56,12684000,13.25,13.36,12.77,12.98,-0.1,48294800,12.79,45.47,38.83,50.52,8691500
35.63,36.2,35.6,34.99,-0.01,55017100,35.78,51.98,76.62,73.45,8957800,13.08,13.19,12.93,12.93,-0.12,39583000,12.97,48.89,45.7,41.75,8711800
35.78,35.81,34.9,35.4,0.04,63523100,35.55,57.86,80.63,77.88,8506000,12.84,12.89,12.68,13,-0.16,31921900,12.75,40.97,40.55,29.38,7661100
36.15,36.15,35.46,35.82,0.1,73165400,35.55,60.6,80.04,88.79,9642300,13.09,13.14,12.72,13.08,-0.15,38970800,12.72,47.64,37.8,42.27,7048900
35.24,36.3,35.24,35.8,0.08,65828900,35.9,49.69,76.2,61.95,7336500,12.51,12.74,12.4,12.95,-0.19,33943200,12.71,36.51,28.01,12.37,5027600
34.29,35.58,34.02,35.42,-0.02,54706000,35.16,41.97,61.55,33.92,11122900,12.04,12.13,11.82,12.71,-0.26,27067100,12.08,29.07,21.47,9.78,6876100
35.65,35.65,34.64,35.42,0.01,62884600,34.9,51.44,56.64,74.04,8178600,12.6,12.65,12.26,12.62,-0.27,32924100,12.27,39.09,18.94,34.67,5857000
36.6,36.66,35.64,35.59,0.12,71607700,35.96,53.27,68.75,98.3,8723100,12.9,12.96,12.68,12.63,-0.24,37027200,12.71,40.32,30.81,48,4103100
13.17,13.22,12.85,12.64,-0.2,41342500,12.96,42.07,50.4,68.53,4315300
37,37.5,36.76,35.76,0.23,80888500,37.27,54.8,86.96,88.53,9280800,13.08,13.2,12.94,12.76,-0.17,35194200,13.19,45.26,63.55,74.12,6148300
36.92,37.36,36.61,36.09,0.3,75286900,36.92,58.56,91.17,86.7,5601600,12.9,13.06,12.78,12.93,-0.16,31680600,12.94,45.36,70.93,70.13,3513600
37.01,37.2,36.52,36.64,0.37,78921500,36.98,61.97,88,88.76,3634600,12.88,12.93,12.68,12.99,-0.15,28164100,12.77,55.13,71.03,68.83,3516500
37.37,37.48,36.54,36.98,0.44,84603100,36.55,70.97,90.83,97.02,5681600,12.98,13.06,12.78,13,-0.14,33243900,12.96,53.95,71.43,75.32,5079800
37.78,37.83,37.03,37.22,0.53,92829300,37.5,71.17,94.82,98.69,8226200,13.36,13.38,12.8,13.04,-0.09,39140800,12.97,52.96,80.96,98.72,5896900
37.99,37.99,37.12,37.41,0.61,102429000,37.32,67.32,98.57,100,9599700,13.21,13.24,12.88,13.07,-0.07,31415000,13.02,49.47,87.72,89.1,7725800
38.07,38.1,37.55,37.64,0.67,108382500,38,63.48,99.32,99.26,5953500,13.17,13.21,13.02,13.12,-0.05,25383100,13.06,51.24,91.45,86.54,6031900
37.6,38.96,37.57,37.76,0.67,94156900,38,64.51,90.58,72.47,14225600,13.18,13.69,13.14,13.18,-0.04,36133400,13.34,55,82.79,72.73,10750300
37.09,38.13,36.78,37.71,0.63,82890500,37.51,59.16,77.96,62.15,11266400,12.73,13.16,12.69,13.13,-0.06,25806200,13.15,45,69.31,48.66,10327200
37.15,37.22,36.72,37.58,0.59,92277600,37.06,57.31,65.99,63.36,9387100,12.72,12.76,12.64,13,-0.08,8640500,12.7,53.47,56.51,48.13,17165700
36.38,36.86,36.28,37.26,0.49,81110400,36.58,58.51,57.76,47.77,11167200,12.2,12.32,12.14,12.8,-0.14,-11935900,12.31,52.6,33.55,3.87,20576400
36.32,36.74,35.89,36.91,0.4,73286100,36.45,67.47,50.01,38.89,7824300,12.02,12.2,11.93,12.57,-0.19,-22949700,12.19,39.26,19.04,5.11,11013800
