% This is a dataset obtained from the YAHOO FINANCES. Here is the included description:
%
% The data provided are daily stock prices from 01/01/2015 through 31/12/2015, for BBDC4.SA.
%
% Source: collection of regression datasets by Jean Felipe Hartz (jeanrsbr@gmail.com) at
% http://real-chart.finance.yahoo.com 
% Characteristics: 246 cases, 5 continuous attributes

@relation stock

@attribute BBDC4.SAClosePrice numeric
@attribute BBDC4.SAHighPrice numeric
@attribute BBDC4.SALowPrice numeric
@attribute BBDC4.SAOpenPrice numeric
@attribute BBDC4.SAVolume numeric

@data
34.3,35.49,34.13,34.75,9362200
34.35,34.77,33.31,33.71,9277900
35.48,35.48,34.14,34.41,11955100
36.89,37.3,35.62,35.94,12740400
37.08,37.41,36.3,37,6995500
35.47,36.93,35.28,36.72,7645600
34.84,35.63,34.6,35.2,7579500
34.95,35.93,34.95,35.1,9758700
35.32,35.85,34.35,34.5,8772300
34.96,36.31,34.96,35.39,11975000
35.3,35.41,34.7,35.15,15099600
34.56,35.65,34.3,35.1,7530400
34.45,35.25,34.34,35.2,6327000
35.29,35.54,34.3,34.97,10042300
35.68,36.35,35.42,35.7,9841800
35.37,36.35,34.78,35.7,7265800
35.94,35.97,34.85,34.85,8151600
36,36.26,35,35.42,11057200
35.25,36.45,35.15,35.55,11550200
34.77,35.93,34.22,35.6,11403100
33.73,34.39,33.48,34.3,12812600
34.08,34.28,33.14,34.15,10940100
35.32,35.39,34.52,35,10747600
36.21,36.53,34.94,35.32,12684000
35.63,36.2,35.6,35.78,8957800
35.78,35.81,34.9,35.55,8506000
36.15,36.15,35.46,35.55,9642300
35.24,36.3,35.24,35.9,7336500
34.29,35.58,34.02,35.16,11122900
35.65,35.65,34.64,34.9,8178600
36.6,36.66,35.64,35.96,8723100
37,37.5,36.76,37.27,9280800
36.92,37.36,36.61,36.92,5601600
37.01,37.2,36.52,36.98,3634600
37.37,37.48,36.54,36.55,5681600
37.78,37.83,37.03,37.5,8226200
37.99,37.99,37.12,37.32,9599700
38.07,38.1,37.55,38,5953500
37.6,38.96,37.57,38,14225600
37.09,38.13,36.78,37.51,11266400
37.15,37.22,36.72,37.06,9387100
36.38,36.86,36.28,36.58,11167200
36.32,36.74,35.89,36.45,7824300
35.88,36.4,35.53,36.22,9189200
34.85,35.62,34.52,35.5,8839200
33.69,34.95,33.69,34.34,13146200
34.7,34.75,33.86,33.92,8072100
34.08,35.26,34.05,35.2,11881600
33.66,33.88,33.17,33.39,11497400
34.16,34.24,33.6,34,8944400
35.5,35.51,33.83,34.16,12525000
36.9,36.9,34.82,35.49,10470300
36.28,36.69,35.83,36.63,6839200
36.84,37.25,36.46,36.58,12060000
36.75,37.25,36.47,36.7,5365400
36.4,37.17,35.97,36.8,5915200
30.35,30.81,30.01,30.58,12696800
29.42,30.23,29.32,30.09,10764700
28.6,29.43,28.2,29.43,9607800
29.2,29.21,28.45,28.75,9488200
29.67,29.78,28.74,28.83,10805900
30.61,31.02,29.88,30.06,8907100
30.96,31.32,30.72,30.84,7718800
31.13,31.48,30.96,31.2,5620500
31.24,31.4,30.91,31.15,5435600
31.31,31.67,31.19,31.42,8685600
30.75,30.97,30.25,30.75,10061800
