ativo;cost;gamma;tam_treino;evaluation;kernel;type;valor_real;valor_predito;diffMod;perc_acerto
BBDC4.SA.arff;32768;0,015625;30;MAE;RBF;EPSILON_SVR;19,74;20,24;0,5;102,53
BBDC4.SA.arff;32768;0,0625;30;MAE;RBF;NU_SVR;19,74;20,05;0,31;101,57
BBDC4.SA.arff;32768;0,0000610352;30;MAE;Sigmoid;EPSILON_SVR;19,74;20;0,26;101,32
BBDC4.SA.arff;32768;0,0000610352;30;MAE;Sigmoid;NU_SVR;19,74;19,96;0,22;101,11
BBDC4.SA.arff;32768;1024;30;MAE;Polynomial;EPSILON_SVR;19,74;19,76;0,02;100,1
BBDC4.SA.arff;2;1024;30;MAE;Linear;EPSILON_SVR;19,74;20;0,26;101,32
BBDC4.SA.arff;1;1024;30;MAE;Linear;NU_SVR;19,74;19,88;0,14;100,72
BBDC4.SA.arff;32768;0,015625;30;RAE;RBF;EPSILON_SVR;19,74;20,24;0,5;102,53
BBDC4.SA.arff;32768;0,0625;30;RAE;RBF;NU_SVR;19,74;20,05;0,31;101,57
BBDC4.SA.arff;32768;0,0000610352;30;RAE;Sigmoid;EPSILON_SVR;19,74;20;0,26;101,32
BBDC4.SA.arff;8192;0,0002441406;30;RAE;Sigmoid;NU_SVR;19,74;19,96;0,22;101,11
BBDC4.SA.arff;32768;1024;30;RAE;Polynomial;EPSILON_SVR;19,74;19,76;0,02;100,1
BBDC4.SA.arff;2;1024;30;RAE;Linear;EPSILON_SVR;19,74;20;0,26;101,32
BBDC4.SA.arff;1;1024;30;RAE;Linear;NU_SVR;19,74;19,88;0,14;100,72
BBDC4.SA.arff;32768;0,125;30;RMSE;RBF;EPSILON_SVR;19,74;20,18;0,44;102,25
BBDC4.SA.arff;32768;0,0625;30;RMSE;RBF;NU_SVR;19,74;20,05;0,31;101,57
BBDC4.SA.arff;32768;0,0000610352;30;RMSE;Sigmoid;EPSILON_SVR;19,74;20;0,26;101,32
BBDC4.SA.arff;32768;0,0000610352;30;RMSE;Sigmoid;NU_SVR;19,74;19,96;0,22;101,11
BBDC4.SA.arff;32768;0,0625;30;RMSE;Polynomial;EPSILON_SVR;19,74;19,76;0,02;100,1
BBDC4.SA.arff;2;1024;30;RMSE;Linear;EPSILON_SVR;19,74;20;0,26;101,32
BBDC4.SA.arff;1;1024;30;RMSE;Linear;NU_SVR;19,74;19,88;0,14;100,72
BBDC4.SA.arff;32768;0,125;30;RRSE;RBF;EPSILON_SVR;19,74;20,18;0,44;102,25
BBDC4.SA.arff;32768;0,0625;30;RRSE;RBF;NU_SVR;19,74;20,05;0,31;101,57
BBDC4.SA.arff;32768;0,0000610352;30;RRSE;Sigmoid;EPSILON_SVR;19,74;20;0,26;101,32
BBDC4.SA.arff;32768;0,0000610352;30;RRSE;Sigmoid;NU_SVR;19,74;19,96;0,22;101,11
BBDC4.SA.arff;32768;0,0625;30;RRSE;Polynomial;EPSILON_SVR;19,74;19,76;0,02;100,1
BBDC4.SA.arff;2;1024;30;RRSE;Linear;EPSILON_SVR;19,74;20;0,26;101,32
BBDC4.SA.arff;1;1024;30;RRSE;Linear;NU_SVR;19,74;19,88;0,14;100,72
BBDC4.SA.arff;32768;0,03125;30;COMBINED;RBF;EPSILON_SVR;19,74;20,2;0,46;102,31
BBDC4.SA.arff;32768;0,0625;30;COMBINED;RBF;NU_SVR;19,74;20,05;0,31;101,57
BBDC4.SA.arff;32768;0,0000610352;30;COMBINED;Sigmoid;EPSILON_SVR;19,74;20;0,26;101,32
BBDC4.SA.arff;32768;0,0000610352;30;COMBINED;Sigmoid;NU_SVR;19,74;19,96;0,22;101,11
BBDC4.SA.arff;32768;0,0625;30;COMBINED;Polynomial;EPSILON_SVR;19,74;19,76;0,02;100,1
BBDC4.SA.arff;2;1024;30;COMBINED;Linear;EPSILON_SVR;19,74;20;0,26;101,32
BBDC4.SA.arff;1;1024;30;COMBINED;Linear;NU_SVR;19,74;19,88;0,14;100,72
