ativo;cost;gamma;tam_treino;evaluation;kernel;valor_real;valor_predito;diffMod;perc_acerto
AGRO3.SA.arff;16;0,0625;50;MAE;RBF;11,07;11,19;0,12;101,11
AGRO3.SA.arff;64;0,0625;50;MAE;Sigmoid;11,07;9,9;1,17;89,44
AGRO3.SA.arff;16;0,0625;50;RAE;RBF;11,07;11,19;0,12;101,11
AGRO3.SA.arff;64;0,0625;50;RAE;Sigmoid;11,07;9,9;1,17;89,44
AGRO3.SA.arff;16;0,0625;50;RMSE;RBF;11,07;11,19;0,12;101,11
AGRO3.SA.arff;32768;0,0001220703;50;RMSE;Sigmoid;11,07;11,16;0,09;100,84
AGRO3.SA.arff;16;0,0625;50;RRSE;RBF;11,07;11,19;0,12;101,11
AGRO3.SA.arff;32768;0,0001220703;50;RRSE;Sigmoid;11,07;11,16;0,09;100,84
AGRO3.SA.arff;16;0,0625;50;COMBINED;RBF;11,07;11,19;0,12;101,11
AGRO3.SA.arff;32768;0,0001220703;50;COMBINED;Sigmoid;11,07;11,16;0,09;100,84
AGRO3.SA.arff;32768;0,001953125;50;MAE;RBF;11,09;10,95;0,14;98,73
AGRO3.SA.arff;32768;0,0004882812;50;MAE;Sigmoid;11,09;11,23;0,14;101,22
AGRO3.SA.arff;32768;0,001953125;50;RAE;RBF;11,09;10,95;0,14;98,73
AGRO3.SA.arff;32768;0,0004882812;50;RAE;Sigmoid;11,09;11,23;0,14;101,22
AGRO3.SA.arff;32768;0,001953125;50;RMSE;RBF;11,09;10,95;0,14;98,73
AGRO3.SA.arff;32768;0,0004882812;50;RMSE;Sigmoid;11,09;11,23;0,14;101,22
AGRO3.SA.arff;32768;0,001953125;50;RRSE;RBF;11,09;10,95;0,14;98,73
AGRO3.SA.arff;32768;0,0004882812;50;RRSE;Sigmoid;11,09;11,23;0,14;101,22
AGRO3.SA.arff;32768;0,001953125;50;COMBINED;RBF;11,09;10,95;0,14;98,73
AGRO3.SA.arff;32768;0,0004882812;50;COMBINED;Sigmoid;11,09;11,23;0,14;101,22
AGRO3.SA.arff;32768;0,0625;50;MAE;RBF;11,09;11,21;0,12;101,12
AGRO3.SA.arff;64;0,0625;50;MAE;Sigmoid;11,09;15,15;4,06;136,64
AGRO3.SA.arff;32768;0,0625;50;RAE;RBF;11,09;11,21;0,12;101,12
AGRO3.SA.arff;64;0,0625;50;RAE;Sigmoid;11,09;15,15;4,06;136,64
AGRO3.SA.arff;32768;0,0625;50;RMSE;RBF;11,09;11,21;0,12;101,12
AGRO3.SA.arff;512;0,0078125;50;RMSE;Sigmoid;11,09;11,16;0,07;100,63
AGRO3.SA.arff;32768;0,0625;50;RRSE;RBF;11,09;11,21;0,12;101,12
AGRO3.SA.arff;512;0,0078125;50;RRSE;Sigmoid;11,09;11,16;0,07;100,63
AGRO3.SA.arff;32768;0,0625;50;COMBINED;RBF;11,09;11,21;0,12;101,12
AGRO3.SA.arff;512;0,0078125;50;COMBINED;Sigmoid;11,09;11,16;0,07;100,63
