ativo;cost;gamma;tam_treino;evaluation;kernel;valor_real;valor_predito;diffMod;perc_acerto
BBDC4.SA.arff;32768;0,25;50;MAE;RBF;19,74;20,21;0,47;102,4
BBDC4.SA.arff;32768;0,0000305176;50;MAE;Sigmoid;19,74;19,97;0,23;101,16
BBDC4.SA.arff;32768;0,25;50;RAE;RBF;19,74;20,21;0,47;102,4
BBDC4.SA.arff;32768;0,0000305176;50;RAE;Sigmoid;19,74;19,97;0,23;101,16
BBDC4.SA.arff;32768;0,25;50;RMSE;RBF;19,74;20,21;0,47;102,4
BBDC4.SA.arff;32768;0,0000305176;50;RMSE;Sigmoid;19,74;19,97;0,23;101,16
BBDC4.SA.arff;32768;0,25;50;RRSE;RBF;19,74;20,21;0,47;102,4
BBDC4.SA.arff;32768;0,0000305176;50;RRSE;Sigmoid;19,74;19,97;0,23;101,16
BBDC4.SA.arff;32768;0,25;50;COMBINED;RBF;19,74;20,21;0,47;102,4
BBDC4.SA.arff;32768;0,0000305176;50;COMBINED;Sigmoid;19,74;19,97;0,23;101,16
BBDC4.SA.arff;32768;0,125;50;MAE;RBF;19,8;19,76;0,04;99,82
BBDC4.SA.arff;32768;0,0001220703;50;MAE;Sigmoid;19,8;19,75;0,05;99,74
BBDC4.SA.arff;32768;0,125;50;RAE;RBF;19,8;19,76;0,04;99,82
BBDC4.SA.arff;32768;0,0001220703;50;RAE;Sigmoid;19,8;19,75;0,05;99,74
BBDC4.SA.arff;32768;0,25;50;RMSE;RBF;19,8;19,94;0,14;100,68
BBDC4.SA.arff;2048;0,0004882812;50;RMSE;Sigmoid;19,8;19,81;0,01;100,06
BBDC4.SA.arff;32768;0,25;50;RRSE;RBF;19,8;19,94;0,14;100,68
BBDC4.SA.arff;2048;0,0004882812;50;RRSE;Sigmoid;19,8;19,81;0,01;100,06
BBDC4.SA.arff;32768;0,25;50;COMBINED;RBF;19,8;19,94;0,14;100,68
BBDC4.SA.arff;512;0,001953125;50;COMBINED;Sigmoid;19,8;19,81;0,01;100,07
BBDC4.SA.arff;32768;0,25;50;MAE;RBF;19,66;19,73;0,07;100,37
BBDC4.SA.arff;4096;0,0004882812;50;MAE;Sigmoid;19,66;19,61;0,05;99,77
BBDC4.SA.arff;32768;0,25;50;RAE;RBF;19,66;19,73;0,07;100,37
BBDC4.SA.arff;4096;0,0004882812;50;RAE;Sigmoid;19,66;19,61;0,05;99,77
BBDC4.SA.arff;32768;0,25;50;RMSE;RBF;19,66;19,73;0,07;100,37
BBDC4.SA.arff;2048;0,0009765625;50;RMSE;Sigmoid;19,66;19,61;0,05;99,77
BBDC4.SA.arff;32768;0,25;50;RRSE;RBF;19,66;19,73;0,07;100,37
BBDC4.SA.arff;2048;0,0009765625;50;RRSE;Sigmoid;19,66;19,61;0,05;99,77
BBDC4.SA.arff;32768;0,25;50;COMBINED;RBF;19,66;19,73;0,07;100,37
BBDC4.SA.arff;4096;0,0004882812;50;COMBINED;Sigmoid;19,66;19,61;0,05;99,77
