ativo;cost;gamma;tam_treino;evaluation;kernel;valor_real;valor_predito;diffMod;perc_acerto
PETR4.SA.arff;32768;0,0078125;50;MAE;RBF;6,76;6,52;0,24;96,41
PETR4.SA.arff;32768;0,0009765625;50;MAE;Sigmoid;6,76;6,49;0,27;95,97
PETR4.SA.arff;32768;0,0078125;50;RAE;RBF;6,76;6,52;0,24;96,41
PETR4.SA.arff;32768;0,0009765625;50;RAE;Sigmoid;6,76;6,49;0,27;95,97
PETR4.SA.arff;32768;0,00390625;50;RMSE;RBF;6,76;6,42;0,34;94,93
PETR4.SA.arff;32768;0,0009765625;50;RMSE;Sigmoid;6,76;6,49;0,27;95,97
PETR4.SA.arff;32768;0,00390625;50;RRSE;RBF;6,76;6,42;0,34;94,93
PETR4.SA.arff;32768;0,0009765625;50;RRSE;Sigmoid;6,76;6,49;0,27;95,97
PETR4.SA.arff;32768;0,0078125;50;COMBINED;RBF;6,76;6,52;0,24;96,41
PETR4.SA.arff;32768;0,0009765625;50;COMBINED;Sigmoid;6,76;6,49;0,27;95,97
PETR4.SA.arff;128;0,0078125;50;MAE;RBF;6,87;6,88;0,01;100,21
PETR4.SA.arff;256;0,015625;50;MAE;Sigmoid;6,87;6,53;0,34;95,01
PETR4.SA.arff;128;0,0078125;50;RAE;RBF;6,87;6,88;0,01;100,21
PETR4.SA.arff;256;0,015625;50;RAE;Sigmoid;6,87;6,53;0,34;95,01
PETR4.SA.arff;32768;0,0004882812;50;RMSE;RBF;6,87;6,73;0,14;97,94
PETR4.SA.arff;32;0,0625;50;RMSE;Sigmoid;6,87;6,41;0,46;93,34
PETR4.SA.arff;32768;0,0004882812;50;RRSE;RBF;6,87;6,73;0,14;97,94
PETR4.SA.arff;32;0,0625;50;RRSE;Sigmoid;6,87;6,41;0,46;93,34
PETR4.SA.arff;128;0,0078125;50;COMBINED;RBF;6,87;6,88;0,01;100,21
PETR4.SA.arff;32;0,0625;50;COMBINED;Sigmoid;6,87;6,41;0,46;93,34
PETR4.SA.arff;2048;0,0002441406;50;MAE;RBF;6,9;7,06;0,16;102,28
PETR4.SA.arff;16384;0,0078125;50;MAE;Sigmoid;6,9;16,79;9,89;243,34
PETR4.SA.arff;2048;0,0002441406;50;RAE;RBF;6,9;7,06;0,16;102,28
PETR4.SA.arff;16384;0,0078125;50;RAE;Sigmoid;6,9;16,79;9,89;243,34
PETR4.SA.arff;2048;0,0002441406;50;RMSE;RBF;6,9;7,06;0,16;102,28
PETR4.SA.arff;2048;0,015625;50;RMSE;Sigmoid;6,9;8,02;1,12;116,24
PETR4.SA.arff;2048;0,0002441406;50;RRSE;RBF;6,9;7,06;0,16;102,28
PETR4.SA.arff;2048;0,015625;50;RRSE;Sigmoid;6,9;8,02;1,12;116,24
PETR4.SA.arff;2048;0,0002441406;50;COMBINED;RBF;6,9;7,06;0,16;102,28
PETR4.SA.arff;2048;0,015625;50;COMBINED;Sigmoid;6,9;8,02;1,12;116,24
