Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,19.28,19.28,19.28,19.28,000,19.2397
2015-12-30,19.74,19.74,19.20,19.28,8456400,19.2397
2015-12-29,19.78,19.80,19.54,19.69,5498700,19.6488
2015-12-28,19.50,19.66,19.27,19.59,6152200,19.549
2015-12-25,19.40,19.40,19.40,19.40,000,19.3594
2015-12-24,19.40,19.40,19.40,19.40,000,19.3594
2015-12-23,19.55,19.56,19.16,19.40,6844200,19.3594
2015-12-22,19.22,19.58,19.10,19.25,8981800,19.2098
2015-12-21,19.84,19.94,19.03,19.08,12689500,19.0401
2015-12-18,19.86,20.24,19.46,19.65,22598900,19.6089
2015-12-17,20.85,20.97,20.41,20.54,18281200,20.4971
2015-12-16,20.50,21.13,20.11,20.95,26127900,20.0635
2015-12-15,20.60,21.08,20.57,20.77,9009000,19.8911
2015-12-14,20.74,20.75,20.33,20.45,13471900,19.5846
2015-12-11,20.76,21.33,20.72,20.82,16729400,19.939
2015-12-10,21.79,22.04,21.00,21.00,15909700,20.1114
2015-12-09,21.23,22.12,21.20,21.95,24314800,21.0212
2015-12-08,21.38,21.50,20.81,20.90,15422500,20.0156
2015-12-07,21.80,22.16,21.32,21.37,8451400,20.4657
2015-12-04,21.84,21.84,21.25,21.59,13057300,20.6764
2015-12-03,21.90,22.64,21.70,21.89,21902800,20.9637
2015-12-02,21.07,21.38,20.60,20.97,16237400,20.0826
2015-12-01,21.12,21.37,20.82,21.00,14037400,20.0932
2015-11-30,21.30,21.52,20.85,21.12,33044300,20.208
2015-11-27,22.18,22.21,21.46,21.55,13952500,20.6195
2015-11-26,21.93,22.51,21.90,22.37,10996000,21.404
2015-11-25,22.59,22.68,21.85,21.89,17260700,20.9448
2015-11-24,22.90,23.14,22.45,23.01,10787000,22.0164
2015-11-23,23.70,23.84,22.90,23.17,15515300,22.1695
2015-11-20,23.40,23.40,23.40,23.40,000,22.3896
2015-11-19,23.00,23.40,22.82,23.40,12614700,22.3896
2015-11-18,22.50,23.07,22.37,22.68,11490200,21.7007
2015-11-17,21.79,22.84,21.79,22.50,16383100,21.5284
2015-11-16,21.54,21.69,21.26,21.69,16565400,20.7534
2015-11-13,21.52,21.76,21.27,21.51,13617100,20.5812
2015-11-12,21.63,21.97,21.09,21.83,11850000,20.8874
2015-11-11,21.53,21.94,21.36,21.84,11389400,20.8969
2015-11-10,21.40,21.41,20.75,21.32,11253100,20.3994
2015-11-09,21.81,21.91,21.35,21.43,15039300,20.5046
2015-11-06,22.11,22.13,21.65,21.92,14240300,20.9735
2015-11-05,21.73,22.24,21.54,22.24,11547800,21.2797
2015-11-04,22.51,22.55,21.47,21.65,16944200,20.7151
2015-11-03,21.20,22.15,20.94,22.11,16970800,21.1371
2015-11-02,21.00,21.00,21.00,21.00,000,20.076
2015-10-30,21.23,21.35,20.85,21.00,13847900,20.076
2015-10-29,21.50,22.07,21.04,21.04,14709700,20.1142
2015-10-28,21.46,22.51,21.29,22.03,20553800,21.0606
2015-10-27,21.40,21.54,21.16,21.48,12219900,20.5348
2015-10-26,21.70,21.90,21.06,21.39,11154700,20.4488
2015-10-23,22.38,22.45,21.50,21.55,10129000,20.6018
2015-10-22,21.68,22.11,21.61,21.85,10409900,20.8886
2015-10-21,21.50,21.76,21.25,21.53,9619500,20.5826
2015-10-20,22.15,22.24,21.37,21.50,13414300,20.554
2015-10-19,22.13,22.42,21.96,22.02,14298400,21.0511
2015-10-16,22.44,22.47,21.85,22.05,13671300,21.0798
2015-10-15,22.61,22.75,22.01,22.48,9785200,21.4908
2015-10-14,22.53,22.99,22.30,22.56,24092700,21.5673
2015-10-13,23.45,23.45,22.24,22.68,19349800,21.682
2015-10-12,23.99,23.99,23.99,23.99,000,22.9344
2015-10-09,24.61,24.68,23.60,23.99,12635500,22.9344
2015-10-08,23.93,24.45,23.84,24.25,12842800,23.183
2015-10-07,23.90,24.76,23.58,24.23,16850300,23.1638
2015-10-06,23.08,23.50,22.94,23.39,10650800,22.3608
2015-10-05,22.99,23.70,22.74,23.17,12364700,22.1505
2015-10-02,21.53,22.51,21.36,22.51,12938900,21.5195
